subject_id,activity,trial,rep_number,peak_dynamic_accel_ms2,time_per_rep_s,peak_gyro_rad_s,power_w_kg
SE03,D08,1,6,23.469338221011906,12.0,5.192430665585116,0.573885
SE03,D08,2,7,19.632869123074716,12.0,4.867650221253512,0.573885
SE03,D08,3,8,9.861563182886465,12.0,4.387395433362552,0.573885
SE03,D08,4,9,8.742940093930745,12.0,4.216932677316232,0.573885
SE03,D08,5,10,13.29699278354911,12.0,4.39214501731254,0.573885
SE04,D07,1,1,4.459666437098106,12.0,1.6276477252362107,0.573885
SE04,D07,2,2,4.778701030105774,12.0,1.7800009331353648,0.573885
SE04,D07,3,3,4.347556504316693,12.0,1.7036217012598227,0.573885
SE04,D07,4,4,4.272672929322813,12.0,1.98127573968359,0.573885
SE04,D07,5,5,4.562154012780227,12.02,1.66881699685818,0.5729301164725458
SE04,D08,1,6,9.211871549922629,12.0,3.1546302652361,0.573885
SE04,D08,2,7,7.992156920495757,12.0,2.3083795560852494,0.573885
SE04,D08,3,8,7.732589706050205,12.0,2.471626803891476,0.573885
SE04,D08,4,9,7.039374969347846,12.0,2.4158311744827317,0.573885
SE04,D08,5,10,7.003054003487477,12.0,2.363170696935653,0.573885
SE05,D07,1,1,4.641667573021638,12.0,1.458474259030901,0.573885
SE05,D07,2,2,4.682442915824359,12.0,1.6354797938081846,0.573885
SE05,D07,3,3,4.575909148867031,12.0,1.3428341623402442,0.573885
SE05,D07,4,4,4.610877124596365,12.0,1.5865779553610195,0.573885
SE05,D07,5,5,4.561404377536775,12.0,1.9146499486996675,0.573885
SE05,D08,1,6,10.128533434014159,12.0,3.0087862337262123,0.573885
SE05,D08,2,7,7.9192073907043214,12.0,2.788203594383464,0.573885
SE05,D08,3,8,7.922703454530233,12.02,2.2646647782368956,0.5729301164725458
SE05,D08,4,9,7.057582139770578,12.0,2.5985455655522305,0.573885
SE05,D08,5,10,7.6067092753386145,12.0,2.622999439497645,0.573885
SE06,D07,1,1,4.356085737109994,12.0,1.815195420893813,0.573885
SE06,D07,2,2,4.346126078568329,12.0,1.0960509964839467,0.573885
SE06,D07,3,3,4.2321168472910475,12.0,1.4280903355932542,0.573885
SE06,D07,4,4,4.383068882645712,12.0,1.6115413916587351,0.573885
SE06,D07,5,5,4.303868592815899,12.0,1.8158317142786133,0.573885
SE06,D08,1,6,8.826172172151685,12.0,2.4570970447264897,0.573885
SE06,D08,2,7,9.060347945690433,12.0,2.3889121677896297,0.573885
SE06,D08,3,8,10.313213174743463,12.0,2.2850245534622315,0.573885
SE06,D08,4,9,9.253169551541854,12.0,2.1558473024639255,0.573885
SE06,D08,5,10,9.757363618018209,12.0,2.7842903693799994,0.573885
SE07,D07,1,1,4.6108008359594885,12.0,1.508920591298388,0.573885
SE07,D07,2,2,4.606469936911119,12.0,1.0552605817408829,0.573885
SE07,D07,3,3,4.6407029418569,12.0,1.5113738060711828,0.573885
SE07,D07,4,4,4.618168574819693,12.0,1.0293641007222167,0.573885
SE07,D07,5,5,4.667106081899097,12.0,1.3859383942115289,0.573885
SE07,D08,1,6,19.470052641608405,12.0,8.310199614600014,0.573885
SE07,D08,2,7,13.922647541433776,12.0,7.28217731592376,0.573885
SE07,D08,3,8,16.159261164439584,12.0,6.363988113048874,0.573885
SE07,D08,4,9,17.130331450868315,12.0,7.961641406647138,0.573885
SE07,D08,5,10,14.916947886155564,12.0,7.433811472951092,0.573885
SE08,D07,1,1,4.68592745114585,12.0,2.3721720713130723,0.573885
SE08,D07,2,2,5.35526454157307,12.0,2.4847104143855208,0.573885
SE08,D07,3,3,5.771859674985205,12.0,2.644732072936276,0.573885
SE08,D07,4,4,4.522916399418452,12.0,1.9565714133432242,0.573885
SE08,D07,5,5,4.485254398539337,12.0,1.8025251917046894,0.573885
SE08,D08,1,6,16.191578093823136,12.0,4.698874484097069,0.573885
SE08,D08,2,7,13.257947233561984,12.0,5.761938042506158,0.573885
SE08,D08,3,8,12.053071881883113,12.0,4.895020860645162,0.573885
SE08,D08,4,9,20.57894200839542,12.0,7.444559052700783,0.573885
SE08,D08,5,10,28.670655813475797,12.0,11.057033224657859,0.573885
SE09,D07,1,1,5.557072465789234,12.0,1.6214904136693364,0.573885
SE09,D07,2,2,4.534662287875499,12.0,1.3652252313712794,0.573885
SE09,D07,3,3,4.681464087340845,12.0,1.5430140946958923,0.573885
SE09,D07,4,4,5.226511885316079,12.0,1.4806673376537236,0.573885
SE09,D07,5,5,5.5678808796058545,12.0,1.7746202089838379,0.573885
SE09,D08,1,6,10.691575855826562,12.0,3.998357533371307,0.573885
SE09,D08,2,7,10.235624640194448,12.0,4.429313988661733,0.573885
SE09,D08,3,8,11.613033347165738,12.0,4.757377400854353,0.573885
SE09,D08,4,9,10.268769248991784,12.0,4.365548986664172,0.573885
SE09,D08,5,10,11.033945818739106,12.0,5.709269834488287,0.573885
SE10,D07,1,1,5.78533110360104,12.0,2.0154307168912933,0.573885
SE10,D07,2,2,4.475530044259825,12.0,1.5173108279314147,0.573885
SE10,D07,3,3,4.566726838685061,12.0,1.9123545687961938,0.573885
SE10,D07,4,4,4.52347817453211,12.0,1.7236171110347995,0.573885
SE10,D07,5,5,5.096710887333284,12.0,2.157632431769027,0.573885
SE10,D08,1,6,19.659795740809287,12.0,3.934575006521295,0.573885
SE10,D08,2,7,9.404126128904315,12.0,4.164063930684453,0.573885
SE10,D08,3,8,10.254154966265315,12.0,4.709764648716644,0.573885
SE10,D08,4,9,13.83206832167447,12.0,5.147758296287457,0.573885
SE10,D08,5,10,15.940186908219049,12.0,5.216042331554524,0.573885
SE11,D07,1,1,4.523446827504115,12.0,1.3065335263598035,0.573885
SE11,D07,2,2,4.509976254465754,12.0,1.3725969323762182,0.573885
SE11,D07,3,3,4.348448968710222,12.0,1.2540341398276895,0.573885
SE11,D07,4,4,4.419085220911373,12.0,1.2295603424311445,0.573885
SE11,D07,5,5,4.568880353820755,12.0,1.3667041660148669,0.573885
SE11,D08,1,6,10.67351019940298,12.0,4.07882390185352,0.573885
SE11,D08,2,7,18.201371614922557,12.0,5.620762631573119,0.573885
SE11,D08,3,8,18.70822774942682,12.0,6.295701461569755,0.573885
SE11,D08,4,9,13.14148366208858,12.0,4.642025077016231,0.573885
SE11,D08,5,10,12.38750411839592,12.0,4.824609423136739,0.573885
SE12,D07,1,1,4.443428417331781,12.0,1.629724820579815,0.573885
SE12,D07,2,2,4.349715995635928,12.0,1.7750242531731535,0.573885
SE12,D07,3,3,4.438598182310764,12.0,2.2789519548571406,0.573885
SE12,D07,4,4,4.353622292869874,12.0,1.5314997556105168,0.573885
SE12,D07,5,5,4.491714840043445,12.0,1.6025077696590881,0.573885
SE12,D08,1,6,32.09384312346057,12.0,4.506840328229286,0.573885
SE12,D08,2,7,16.14297669305264,12.0,2.977133560599769,0.573885
SE12,D08,3,8,20.691035018918857,12.0,3.5516623133543095,0.573885
SE12,D08,4,9,19.412720786491363,12.0,4.084603790725522,0.573885
SE12,D08,5,10,20.302353183383513,12.0,3.345374910539868,0.573885
SE13,D07,1,1,5.138740774632602,12.0,2.6916067261098773,0.573885
SE13,D07,2,2,4.271008493616828,12.0,2.181138370232796,0.573885
SE13,D07,3,3,4.6159951959992425,12.0,2.3412196728000088,0.573885
SE13,D07,4,4,5.111206451225843,12.0,2.1585576733815173,0.573885
SE13,D07,5,5,5.16165822694284,12.0,1.950782502554387,0.573885
SE13,D08,1,6,6.671347475369816,12.0,2.435310317299857,0.573885
SE13,D08,2,7,7.898304462856983,12.0,2.216043438481172,0.573885
SE13,D08,3,8,10.15963461970108,12.0,2.5843981821061943,0.573885
SE13,D08,4,9,6.31623127717199,12.0,2.3300540057832473,0.573885
SE13,D08,5,10,4.913372513032812,12.0,1.833947783843718,0.573885
SE14,D07,1,1,4.303831670036716,12.0,1.6087742192767256,0.573885
SE14,D07,2,2,6.502150966880409,12.0,1.509859493269151,0.573885
SE14,D07,3,3,4.442854466415586,12.0,1.6051100769096016,0.573885
SE14,D07,5,4,6.228826076406757,12.0,1.659650515391982,0.573885
SE14,D08,1,5,19.097563689701897,12.0,2.911863124711796,0.573885
SE14,D08,2,6,14.26822321999683,12.0,2.1816269214802877,0.573885
SE14,D08,3,7,11.337634834160557,12.0,2.7940201816902115,0.573885
SE14,D08,4,8,19.33519229749672,12.0,2.778732985690166,0.573885
SE14,D08,5,9,10.734632769590073,12.0,3.1378428401894802,0.573885
SE15,D07,1,1,4.384541671865593,12.0,0.8617910293599992,0.573885
SE15,D07,2,2,4.3688352536635335,12.0,1.2150283262821946,0.573885
SE15,D07,3,3,4.417446088805319,12.0,1.0490361494913418,0.573885
SE15,D07,4,4,4.417432592176276,12.0,0.974182481680998,0.573885
SE15,D07,5,5,4.432123086785472,12.0,1.0295296686281983,0.573885
SE15,D08,1,6,7.012701589018605,12.0,2.3257449983471483,0.573885
SE15,D08,2,7,8.323937639106529,12.0,2.197773397865498,0.573885
SE15,D08,3,8,6.239276124723127,12.0,2.691355728839665,0.573885
SE15,D08,4,9,6.392470283461199,12.0,2.37064964488678,0.573885
SE15,D08,5,10,11.650817684231015,12.0,2.627347796906347,0.573885
